Lonz Flawless Aura™ Curated General Skin Care Matrix
Where Next-Gen Confidence Meets Personalized Rituals
Every skins story, celebrated and empowered.
| Skin Concern | Aura Prescription | Category |
|---|---|---|
| --- | --- | --- |
| Dryness | Hydrating cleanser |  |
|  | Hyaluronic acid serum | Ceramide moisturizer |
| Hydration Protection |  |  |
| Oily skin | Gel cleanser |  |
|  | Niacinamide serum | Oil-free moisturizer |
|  | Mineral sunscreen |  |
| Balance, Oil control |  |  |
| Combination skin | Gentle foaming cleanser | Targeted serums |
| Multi-zone Balance |  |  |
| Sensitive skin | Fragrance-free cleanser | Centella asiatica serum |
|  | Barrier-repair moisturizer | Physical sunscreen |
| Hyperpigmentation | Vitamin C serum |  |
|  | AHA/BHA exfoliant | Niacinamide |
|  | broad-spectrum SPF |  |
| Brighten | Protect |  |
| Acne-prone skin | Salicylic acid cleanser | Benzoyl peroxide spot |
| Clarity, Blemish Care |  |  |
| Mature skin | Peptide serum | Retinol |
|  | (PH) | Rich moisturizer |
| Renewal | Firming |  |
| Dullness | Exfoliating cleanser |  |
|  | Vitamin C serum | Illuminating moisturizer |
|  | Sunscreen |  |
| Revitalize |  |  |
| Redness/Rosacea | Ultra-gentle cleanser | Azelaic acid serum |
| Calm | Strengthen |  |
| Dehydration | Moisture toner |  |
|  | Hyaluronic acid serum | Occlusive |
|  | moisturizer | SPF |
| Replenish | Lock |  |
| Large pores | Pore-refining cleanser |  |
|  | Niacinamide serum | Lightweight moisturizer |
| Mattifying SPF |  | Refine |
